page_no,scene_title,text
32,  121       EXT. FERRY BUILDING CUSTOMS HALL -- NIGHT," 121                NEVINS.  American.  A junior, C.I.A. Field Officer.               Walking from the parking lot, talking on his cellphone.                                       NEVINS                         ...what can I do?  I can't.  I'll call you                         when I know what I'm into...                               (a hassled pause)                         I don't know, some guy's name came up on                         the computer.                               (starting toward the                                building)                         So start without me, if I can get there, I                         will.  Later...                 NEVINS hangs up and pockets the phone.  He hustles towards               the building.      "
33,  122       INT. CIA SITUATION ROOM -- DAY," 122                The room is jumping.  Agents tracking, working the phones               and computers.  PAMELA giving orders.  ABBOTT watches.                  33.                                       CRONIN *                               (looks up from computer *                                screen) *                         Looks like he's been detained. *                                       PAMELA *                         Who's going?  Us? *                                       CRONIN *                         There's only a Consulate, they sent a *                         field officer out half an hour ago -- *                                       PAMELA *                               (cuts him off) *                         Then get a number, they need to know who *                         they're dealing with. *                 CRONIN already on it... *      "
34,  123       INT. FERRY BUILDING HOLDING ROOM -- SUNSET," 123                As NEVINS flashes his credentials to CARABINIERI at door,               who gives an unimpressed shrug and lets him in.                 NEVINS takes his overcoat off, tosses it on the empty               chair.  We see a big ass .45 for just a second under his               suit jacket.                                       NEVINS                         Alright, Mr. Bourne, is that your name?                               (BOURNE nods)                         Name's Nevins.  I'm with the US Consulate.                         Could I see your passport?                 BOURNE, silent, hands over his passport.                                       NEVINS (CONT'D)                         So, Mr. Bourne...                 NEVINS studies Bourne's passport...                                       NEVINS (CONT'D) *                         What are you doing in Tangiers?                  Silence... *                                       NEVINS (CONT'D)                               (faux friendly)                         Are you travelling alone? *                  34.                 BOURNE stares straight ahead.  NEVINS comes around the *               table and sits in front of BOURNE. *                                       NEVINS (CONT'D) *                               (in his face) *                         Look, I don't know what you've done. *                         But, you're gonna need to play ball here. *                 NEVINS cell starts to ring.  He shrugs an apology, turns *               away and answers: *                                       NEVINS (cont'd) (CONT'D) *                         Nevins... *                                       PAMELA/PHONE *                         This is Pamela Landy, a CI Supervisor *                         calling from Langley, Virginia.  Are you *                         with a Jason Bourne now? *                                       NEVINS                               (listens; looks at Bourne)                         Yes...      "
34,  A123      INT. CIA SITUATION ROOM -- DAY, A123    *                PAMELA on the phone. *                                       PAMELA *                         Then use extreme caution.  He can be very *                         unpredictable and violent.  Use whatever *                         means necessary to... *      
35,  123       INT. FERRY BUILDING HOLDING ROOM -- SUNSET," 123                Whatever Nevins is being told, it's concerning.  BOURNE               watching him.  Knows exactly what this is.                 CLOSE ON NEVINS as he steps away, listening intently.  His               hand just starting to move toward his shoulder holster.                                       NEVINS (cont'd)                         Okay, I'll call you right back.                 NEVINS flips shut his phone.  He reaches for his gun, even               as he turns, and --                 BOURNE is right there in his face.  WHUMP!  Momentum and               gravity reaching mutual agreement as NEVINS hits the deck.                 CARABINIERI barely clears his holster before -- CHOP --               CHOP -- BOURNE has him down in a heap.            35.                 BOURNE is back, silent and effective.                 Finding NEVINS cellphone, BOURNE reaches into his bag.  He               holds the phone next to a larger, diagnostic MOBILE UNIT --               the ""confirm"" light blinks -- Nevins' phone has been               cloned.  BOURNE puts the phone back in NEVINS coat, takes               his gun and CARABINIERI'S gun and radio and puts them in               his duffle.  We're starting to realize there's a plan at               work here.                 FINALLY                BOURNE -- exits the door, wedging a desk under the handle               so it cannot be opened from the inside and calmly walks               away like nothing ever happened --      "
35,  124       EXT. NAPLES FERRY BUILDING -- NIGHT," 124                And now we see the old BOURNE, in his long black coat,               purposely striding out of the building.  He pauses long               enough for the security camera to get a good look at him.                 THE RONIN returns.      "
35,  125       EXT. NAPLES FERRY PARKING LOT -- NIGHT," 125                BOURNE crosses the street and approaches a man putting his               suitcase in the trunk of a green Peugeot.  BOURNE reaches               into his bag, pulls out some cash.        126    *     "
35,  127       INT. FERRY/SECURITY HOLDING ROOM -- NIGHT," 127                NEVINS stirring, the CARABINIERI still out.  A phone starts               to RING.  Nevins' phone.  Finally sitting up, he answers.                                       NEVINS                         Hello?        128-129                 "
36,  130       INT. C.I.A. SITUATION ROOM -- DAY," 130                PAMELA at the other end of the line.                36.                                                   PAMELA/PHONE                         Mr. Nevins?                                       NEVINS/PHONE                         Who's this?                                       PAMELA/PHONE                         Pamela Landy, again.  Where do we stand? *      "
36,  A130      INT. FERRY/SECURITY HOLDING ROOM -- NIGHT, A130                Nevins barely knows where he is.      
37,  131       EXT. NAPLES STREET -- NIGHT," 131                BOURNE sits in the dark car.  Headphones.  A nest of cool               gadgetry -- on the passenger seat.  Listening in -- *               recording  --               He writes: Pamela Landy  -- circles it.                                      NEVINS/PHONE                         I think... I think he got away. *                 PAMELA looks at the faces waiting around the table.  Shakes               her head no... *                                       PAMELA *                         Have you locked down the area? *                                       NEVINS/PHONE                         Ah, we're in Italy.  They don't exactly *                         ""lock down"" real quick...                 INTERCUT  -- BOURNE -- NEVINS -- PAMELA --                                      PAMELA/PHONE                         How long have you worked for the agency?                                       NEVINS/PHONE                         Me?  Four years.                                       PAMELA/PHONE                         If you ever want to make it to five,                         you're gonna listen to me real close.                         Jason Bourne is armed and extremely                          dangerous.  A week ago, he assassinated                         two men in Berlin, one of whom was a *                         highly-experienced field officer... *                               (continuing as--)              37.                 We're TOTALLY ON BOURNE at this point -- sitting there in               the dark car, struggling to make sense of this -- what the               fuck is she talking about? -- Berlin ? -- He writes it,              circles it.                                       PAMELA/PHONE (CONT'D)                         I want that area secured, I want any                         evidence secured and I want it done now.                         Is that clear?? *                                       NEVINS/PHONE                         Yes, sir -- ma'am ...                                     PAMELA/PHONE                         I'm getting on a plane to Berlin in 45 *                         minutes, which means you are going to call *                         me back in 30, and when I ask you where we *                         stand, I had better be impressed.  My *                         mobile number is... *                 BOURNE already turning the key in the ignition -- THE               PEUGEOT ROARING TO LIFE, as he writes the number. *                 Dropping the car into gear, BOURNE pulls briskly away from               the curb.      "
38,  A131      INT. C.I.A. SITUATION ROOM -- DAY," A131                PAMELA finishes, hangs up.                                       ABBOTT *                         Berlin ! *                                      PAMELA *                         I've already got a team there.  I doubt *                         Bourne's in Naples to settle down and *                         raise a family. *                                       ABBOTT *                         You don't know what you're getting into *                         here. *                                       PAMELA *                         And you do?  From the moment he left *                         Treadstone, he has killed and eluded *                         every person that you sent to find him... *                 Before it can come to blows --                                       MARSHALL                               (riot act)                         Enough.  I want both of you on that plane. *                                     (MORE)          38.                                       MARSHALL (CONT'D)                         And we are -- all of us -- going to do *                         what we were either too lazy or inept to *                         do the last time around -- you're going to *                         find this sonofabitch and take him down                         before he destroys any more of this                         agency.                               (beat)                         Is that definitive enough for you?                 ABBOTT nods.  Sharing a look with PAMELA as we --      "
38,  AA131     INT. CIA HEADQUARTERS HALLWAY -- DAY," AA131    *                PAMELA and CRONIN come screaming around a corner and down *               a long corridor, ABBOTT and ZORN trying to keep up. *                                       CRONIN *                         -- Kurt's reopening all the wyfi and sat *                         links -- *                                       PAMELA *                         -- uplink all relevant files to *                         Kim -- *                               (a look back at Zorn) *                         -- and I want them to contact anyone who *                         had anything to do with Treadstone -- *                 ZORN looks to ABBOTT, as they disappear around a *               corner... *      "
38,  B131      EXT. AUTOSTRADA -- NIGHT, B131                THE PEUGEOT speeding North -- North towards Germany and --        132     
39,  133       INT. BOURNE'S PEUGEOT -- NIGHT (CONT)," 133                BOURNE driving -- listening to playback  of Pamela's              conversation with Nevins.                                       PAMELA/TAPE                           ""Jason Bourne is armed and extremely                           dangerous...""                 BOURNE'S FACE -- eyes -- tight -- looking weird --                39.                                       PAMELA/TAPE (cont'd)                                     (CONT'D)                         ""...a week ago he assassinated two men in                         Berlin, one a highly...""       A133      SUDDENLY A133                 FLASHBACK! -- a shard -- pieces -- lightning flash of              images GETTING IN THE BACK SEAT OF THE CAR -- rolling               BRANDENBURG BERLIN -- A MIRROR -- THE TELEVISION TOWER --                 THE DRIVER looks back.  We see him.  (We'll know him later               as Jarda.)  Then -- A STEEL CASE on the backseat.  Inside a               SYRINGE, A DARK VIAL, PISTOL.  As we lay hands on them --       B133      BACK TO: B133                 BOURNE out of it -- jolted! -- almost losing control of the               car for a second -- jerking back into his lane, --               recognition -- toughing it out -- Steady as she goes --                 Catching his rhythm again.  Accelerating and ---      "
39,  134       EXT. BAKERY -- PORTOBELLO ROAD -- DAY," 134                A BAKERY on the corner.  NICKY emerging.  Nicky from the               old days.  Suddenly, she stops --                 ABBOTT stands there beside a parked car.  The passenger               door open.  Message clear.  Get the fuck in.      "
41,"  135       INT. US AIR FORCE BASE, ENGLAND -- DAY"," 135                Inside a hanger.  Inside an office.  ABBOTT watching as               CRONIN questions NICKY.  PAMELA sits on a window sill.                                       CRONIN                         So your cover at the time was what?                                       NICKY                         That I was an American student in Paris.                                       CRONIN                         What exactly did your job with Treadstone                         in Paris consist of?                 Nicky looks to Abbott.  He nods that it's okay to *               answer.  Pamela bristles at the check-off. *                  40.                                       NICKY                         I had two responsibilities.  One was to                         coordinate logistical operations.  The                         other was to monitor the health of the                         agents, to make sure they were up to date                         with their medications.                                       CRONIN                         Health, meaning what?                                       NICKY                         Their mental health.  Because of what                         they'd been through.  They were prone to a                         variety of problems.                                       PAMELA                               (losing patience) *                         What kind of problems?                                       NICKY                         Depression.  Anger.  Compulsive                         behaviors.  They had physical symptoms --                         headaches -- sensitivity to light --                                       PAMELA *                         Amnesia? *                                       NICKY                         Before this?  Before Bourne?  No.                 NICKY gets agitated.  ABBOTT steps in, fatherly, good *               cop.  *                                     ABBOTT                         Were you familiar with the training                         program?                                       NICKY                         The details?  No.  I mean, I was told it                         was voluntary.  I don't know if that's                         true or not, but that's what I was told.                               (a bit defensive)                         Look, they took vulnerable subjects,                         okay?  You mix that with the right                         pharmacology and some serious behavior                         modification, and, I don't know, I mean,                         I guess anything's possible.                 ZORN arrives from outside. *                    41.                                       ZORN *                         The jet's ready. *                               (points to Nicky) *                         There's a car for you. *                 Everybody moving.  NICKY relieved.  She's off the hook. *               She thinks.  She becomes aware of PAMELA considering her. *                                       NICKY *                         Good luck. *                                       PAMELA *                         You were his local contact.  You were *                         with him the night Conklin died.  You're *                         coming with us. *      "
41,  136       EXT. PRIVATE JET -- DUSK, 136                Streaks across the sky.      
43,  137       INT. PRIVATE JET -- NIGHT," 137                Quiet in the cabin.  ABBOTT gets up to use the bathroom. *               PAMELA sits across from NICKY who stares out the window. *               As the bathroom door clicks shut, PAMELA seizes the *               privacy. *                                       PAMELA *                         I'm curious about Bourne.  Your *                         interpretation of his condition. *                         You have specific training in the                         identification and diagnosis of                         psychological conditions?                                       NICKY                         Am I a doctor, no, but...                                       PAMELA                         Are you an expert in amnesia?                                       NICKY                         Look, what do you want me to say?                         I was there.  I believed him.                                       PAMELA                         Believed what?                                       NICKY                         I believed Jason Bourne had suffered                         a severe traumatic breakdown.              42.                                       PAMELA                         So he fooled you.                                       NICKY                               (frustration building)                         If you say so. *                                       PAMELA                               (leans in; still low) *                         Not good enough.  You're the person who *                         floated this amnesia story. *                               (shifts gears) *                         Ever feel sorry for him?  For what he'd                         been through?                                       NICKY                         You're making it out like we're friends                         here or something.  I met him alone twice .                                     PAMELA                         You felt nothing?  No spark?  Two young                         people in Paris?  Dangerous missions?                         Life and death?                                       NICKY                               (incredulous)                         You mean, did I want a date?                                       PAMELA                         Did you?                                       NICKY                         These were killers.  Conklin had them all                         jacked up.  They were Dobermans.                                       PAMELA                         Some women like Dobermans --                                       NICKY                         What do you want from me?  I was                         reassigned.  I'm out. *                                       PAMELA                         See, that's a problem for me, Nicky. *                         Whatever he's doing, we need to end it. *                         This isn't the kind of mess you walk away *                         from. *                 PAMELA leans away.  NICKY looks back out the window. *                    43.    "
43,  138       EXT. TARMAC -- BERLIN AIRPORT -- NIGHT," 138                Three in the morning as the GULF STREAM lurches to a stop.               TWO BLACK SEDANS here for the pickup.  TEDDY the greeting               party as --                 PAMELA, CRONIN, ABBOTT, ZORN and NICKY disembark --      "
43,  A138      EXT. BERLIN STREET -- NIGHT," A138                The SEDANS making their way, stopping at a non-descript               office building.      "
44,  B138      INT. BERLIN HQ/COMMAND POST -- NIGHT," B138                ELEVATOR opens into their 9th floor world.  Emergency               activity.  KIM ready to debrief, KURT work the computers.               Energy up.  PAMELA, ABBOTT and CRONIN bring NICKY into the                room.                                       KIM                         -- so far Bourne's had no contact with *                         anyone on the list -- Langley pulled an *                         image out of Naples, it's uploading right                         now.                                       KURT                         Coming in now...                 Everything stops, as THE PHOTO -- blurry, oblique -- begins               materializing on HALF-A-DOZEN MONITORS around the room.               Suddenly, they're surrounded by Bourne.                                       PAMELA                               (to Nicky)                         Is it him?                 Looking closer -- she nods...                                       CRONIN                         He's not hiding, that's for sure.                                       ZORN                         Why Naples?  Why now?                 PAMELA has gone quiet, just staring at the picture, as --                                       KURT                         Could be random.                44.                                       CRONIN                         Maybe he's running.                 ABBOTT looks skeptical.                                       ABBOTT                         On his own passport?                                       KIM                               (the image)                         What's he actually doing?                                       CRONIN                         What's he doing?  He's making his first                         mistake...                 And then, from behind them --                                       NICKY                         It's not a mistake.                               (everyone looks over)                         They don't make mistakes.  And they don't                         do random.  There's always an objective, *                         always a target. *                               (beat) *                         If he's in Naples, on his own passport, *                         there's a reason. *                 PAMELA turns to ABBOTT.  A silent moment between them.               They're in it now and they know it.      "
44,  C138      EXT. ITALIAN MOUNTAIN HIGHWAY -- NIGHT, C138                THE PEUGEOT streaking through the Alps.  Passing a sign for               the German border.  Moonlit glacial peaks whipping past as               CLUB MUSIC STARTS PULSING LOUDER AND LOUDER and --      
44,  D138      INT. THE PEUGEOT -- NIGHT (CONT.)," D138                BOURNE driving hard.  Pushing the car through the night.               Mission Bourne.  As the MUSIC KEEPS JUST BUILDING AND               BUILDING, taking us into --      "
45,  139       INT. MOSCOW NIGHTCLUB -- NIGHT," 139                Packed and loud.  Skin and smoke.  A DOORMAN on the move,               taking us with him through THE CROWD.  Faces -- voices --               all the Moscow party people and --                 AT THE BACK            45.                 A VIP BOOTH.  KIRILL simply shitfaced .  But in a really              creepy, numb kind of way.  THREE WOMEN, absolutely                gorgeous, are sitting around him, chatting away as if he               weren't even there.  The girls looking up to see --                                       THE DOORMAN                               (standing there)                         (Can he walk?)                 KIRILL stirs.  His stupor a futile attempt to escape.  Eyes               still those of an exceptionally hard man.                 A minute later.  KIRILL can walk.  The most graceful drunk               you've ever seen.  Making his way through the club.  Tuning               out everything but the need to get to THE DOOR and --      "
45,  140       EXT. MOSCOW NIGHTCLUB -- DAY (CONT)," 140                Yes, day .  It's nine a.m.  KIRILL suddenly in the sunlight.              People going to work.  Kids off to school and --                  GRETKOV sitting in his Mercedes, not happy.                 FOLLOW CAR and SECURITY and ASSISTANT equally unhappy.                                       GRETKOV                         (You told me Jason Bourne was dead.)                 KIRILL blinking against the sunlight -- trying to process.        141     "
45,  142       EXT. ANONYMOUS MUNICH NEIGHBORHOOD -- DAY, 142                Discreet and chilly.  A car pulls up.  A MAN gets out.   MUNICH              We don't see his face as he heads in.      
49,  143       INT. JARDA'S HOUSE FOYER/KITCHEN -- DAY," 143                The man enters.  His alarm system -- beep ...beep  -- starts              once he comes through the door.  There's A KEYPAD on the               wall.  He enters his code and the beeping stops.  Just like               everyday.  It's a sad house.                 He hangs his coat on the rack.  Moving now --              46.                 INTO                 THE KITCHEN.  He drops his briefcase on the table, opens               the fridge for a drink.  Except what he comes out with is --                 A GUN!                 Wheeling around.  The salaryman is JARDA.  JARDA from                Bourne's dream.  But as he turns --                 BOURNE behind him.  Bigger gun.  Waiting.  So ready.                                       BOURNE                         I emptied it.                                       JARDA                               (a total pro)                         Felt a little light.                                       BOURNE                         Drop it.                 JARDA lets the gun fall, looks his old comrade over a beat.                 But Bourne's not interested in a reunion.                                       BOURNE (cont'd) (CONT'D)                         Here...                 Bourne tosses him FLEXCUFFS -- JARDA puts his hands behind                his back, turns to let BOURNE cinch them.                                       BOURNE (cont'd) (CONT'D)                         Front .  Use your teeth.                                      JARDA                               (caught scamming)                         Sorry.  Old habits.                 BOURNE kicks over a chair.  Sit .                                     JARDA (CONT'D) *                         Word in the ether was you'd lost your                         memory.                 BOURNE checking JARDA'S briefcase -- tearing through it --                                       BOURNE                         You still should've moved.                                       JARDA                         I like it here.                               (a beat)                                     (MORE)          47.                                       JARDA (CONT'D)                         Last time I saw you was Greece.  You had a                         good spot.                 BOURNE reacts -- doesn't look over -- but realizes...                                       JARDA (CONT'D) *                         I had the girl.  I had her lined up that                         whole afternoon.  Waiting for you, that                         was the problem.                               (defensive)                         You ever do two targets?  It's tough.                 BOURNE turns.  Cold.                                       JARDA (CONT'D) *                               (his real question)                         So why didn't you kill me then? *                                       BOURNE                         She wouldn't let me.                                (beat)                         She's the only reason you're alive.                 Silence.  JARDA down a peg.  Or two.                                       JARDA                         What do you want?                                       BOURNE                         Conklin.                                       JARDA                         He's dead.                 BOURNE -- the gun -- right to Jarda's face --                                       BOURNE                         Try again.                                       JARDA                         Shot dead in Paris.  Dead the night you                         walked out.                                       BOURNE/PHONE                         Then who runs Treadstone?                                       JARDA                         Nobody.  They shut it down.  We're the                         last two.  It's over...                               (not finishing because--)                  -- he's falling! -- landing hard -- BOURNE just kicked the               chair out from under him --          48.                                       BOURNE                         You're lying.  If it's over, why are they                         after me?                                       JARDA                         I don't know.                                       BOURNE                         Who sent you to Greece?                                       JARDA                         A voice.  A voice from the States.                         Someone new.                                       BOURNE                         Pamela Landy?                                       JARDA                         I don't know who that is.                                       BOURNE                         What's going on in Berlin?                                       JARDA                         I don't know!  Why would I lie?                 Silence.  BOURNE pulls back.  Unsure.                 JARDA makes it to his feet.                                       JARDA (CONT'D) *                         What the hell did you do?  You must have                         really screwed up.                 BOURNE doesn't know.  He backs off.                                       JARDA (CONT'D)                         She really did that?  Told you not to kill                         me?                               (beat)                         I had a woman once.  But after a while,                         what do you talk about?  I mean, for us.                         The work.  You can't tell them who you                          are...                                       BOURNE                         I did.                 JARDA hesitates.  It's really like Bourne just told him how               much he loved her.                                       JARDA                         I thought you were here to kill me.            49.                 Something in the way he said it.  Plus Jarda just glanced               at his watch.                                       BOURNE                         What did you do?                 JARDA shrugs, almost embarrassed.  BOURNE looks across to               the alarm pad Jarda hit on the way in.  Voltage -- like a               switch.                                       BOURNE (cont'd) (CONT'D)                         You called it in?                                       JARDA                         I'm sorry.                                       BOURNE                         How long?  How long do I have --                               (stopping because--)                 THE PHONE JUST STARTED RINGING -- loud -- insistent --                                       BOURNE (cont'd) (CONT'D)                         How long ?    "
50,  144       INT. DOD RAPID CAR -- DAY," 144                Jamming  -- right the fuck into it -- three guys -- JARHEADS              -- DOD Special Force dudes -- speeding through MUNICH --               JAR #1 is the driver -- JAR #2 is prepping weapons like a               maniac in the backseat and --                                       JAR #3                               (on the phone)                         -- it's a red flag file! -- so fix it,                         call them back ASAP! --                                       JAR #1                               (the call)                         What?  What'd they do?                                       JAR #3                               (bad news)                         She called Munich local.                                       JAR #2                               (slamming home another clip)                         It's probably just a drill anyway. *                    50.    "
50,  145       INT. JARDA'S HOUSE KITCHEN -- DAY," 145                PHONE RINGING -- JARDA in cuffs -- BOURNE scanning out the               windows -- everything fast --                                       BOURNE                         -- car keys?                                       JARDA                         -- my coat -- but we should --                                       BOURNE                         -- what? --                                       JARDA                         -- take the back -- get another car --                 BOURNE hesitates -- just a moment --                 Wrong .               SLAM! -- out of nowhere -- JARDA swings -- two-hands --               still cuffed -- like a mace -- catching BOURNE hard  and --                BOURNE stunned -- JARDA smashing the coffee table, slices               the flexcuffs through on a shard of glass -- Free!                 JARDA follows up -- knee up in the ribs -- THE GUN KNOCKED               FREE FROM BOURNE'S HAND! -- skittering across the floor --               BOURNE -- as JARDA starts to move -- backhanding him and --      "
50,  146       EXT. MUNICH STREET -- DAY, 146                TWO MUNICH PATROL CARS rolling and --      
50,  147       EXT./INT. JARDA'S KITCHEN -- DAY," 147                Seen from inside, glimpsed through the glass outside.                 It's war -- a flat-out, close-quarter death match -- JARDA               older and cuffed, but strong and determined -- BOURNE still               hammered from that opening sucker-punch -- the two of them                braced there -- grappling -- falling --                 JARDA -- the cuffs -- he's got BOURNE in a choke-hold --               but BOURNE driving his head back  -- into JARDA'S FACE and --     "
51,  148       INT. DOD RAPID CAR -- DAY, 148               51.                 Jamming along through Munich --      
51,  149       INT. JARDA'S KITCHEN -- DAY," 149                JARDA -- BOURNE -- THE GUN on the floor -- struggling for               it -- JARDA there first -- BOURNE on him -- pinned there --               four hands, one gun and --                 BLAMM!!! -- wild shot -- into the refrigerator --                 Still wrestling -- breaking JARDA's nose, until --                  The gun knocked away again.                 Finally their hands locked into each other's throats.  This               is as real and up close as it gets.  Until, BOURNE finally               holds dead weight.  Eyes fixed.  Staring...                 BOURNE jumping back.  Blood all over his shirt -- BOURNE'S               first kill in a long time.  A messy one -- Revulsion.      "
51,  150       INT. DOD RAPID CAR -- DAY, 150                JARHEADS getting close -- but up ahead -- ANOTHER MUNICH               PATROL CAR in motion -- the JARHEADS react -- don't need               or want the company.      
52,  151       INT. JARDA'S KITCHEN -- DAY," 151                BOURNE -- all business now -- pulling  THE STOVE away from              the wall -- there  -- THE GAS LINE HOSE -- BOURNE ripping it              free -- gas running wide open into the room --                 Next -- A FORK -- grabbing it -- jamming it down into the                mechanism on a TOASTER -- wedging it there -- and now he's               grabbing PAPERS -- JARDA's stuff on the table -- jamming a               roll of sales projections into the toaster beside the fork -               -                BOURNE coughing from the gas, turning the toaster on.                 Checking his watch.                 Taking one last look at JARDA dead on the floor and --        152    *                 52.    "
52,  153       INT. DOD RAPID CAR -- DAY, 153                They're just turning into the street --      
52,  154       EXT. JARDA'S STREET -- DAY," 154                THE DOD CAR -- THREE DODS approaching the house, when -- *                 BOOOOOMM !!! -- JARDA'S KITCHEN -- blown out! -- gone --     "
52,  155       EXT. JARDA'S BACK DOOR -- DAY, 155                BOURNE -- same moment -- flying out the rear -- as planned               -- urban backyard exfil -- he's flying and -- Gone.      
52,  156       EXT. JARDA'S HOUSE -- DAY, 156                Fire -- smoke -- it's all burning now -- MUNICH COPS blown               back -- they'll have a story to tell tonight --      
52,  157       INT. BOURNE'S CAR -- DAY, 157    *                Drives away past arriving police... *        158-163     
53,  164       INT. BERLIN HQ/COMMAND POST -- NIGHT," 164                The bullpen is cranking  -- phones to Munich -- lines to              Langley -- ABBOTT watching from the sidelines -- KURT and               KIM at their work stations -- PAMELA on mobile, turns to               ABBOTT --                                       PAMELA                         So he beats a man within an inch of his *                         life, strangles him, then blows the place *                         up? *                               (at Nicky)                         For someone with amnesia, he certainly                         hasn't forgotten how to kill, has he?                 Across the room -- CRONIN and TEDDY suddenly excited about               what they're seeing on THEIR SCREEN --                     53.                                       CRONIN                         -- hey! -- they've got him boxed in! --                               (new data coming up on the                                monitor)                 Everyone rushing to look.  Excited, except --                                       ZORN                         Forget it.  They lost him.                                       TEDDY                         What're you talking about?  They've got a                         three block perimeter.                                       ZORN                         You can't see him?  He's not in front of                         you?  Forget it.  He's gone.                                       CRONIN *                               (fuck you, buzzkill) *                         It's not gonna be like last time. *                                       ZORN                         You better start listening to someone . *                        Cause we've been there. *                                       ABBOTT *                         Okay, enough... *                               (stepping in) *                         Take a walk, Danny.  Get some air. *                 Zorn nods.  Happy to. *                                       NICKY                               (piping in)                         I don't think we need to keep looking for                         him anyway.                                       PAMELA                         And why is that?                                       NICKY                         Because he's doing just what he said he'd *                         do.  He's coming for us.                 And for the first time they're all thinking the same thing.      "
54,  165       EXT. HOTEL BRECKER -- BERLIN -- NIGHT -- RAIN," 165                It is pouring  rain.  Seen from that Hellish car, A HUGE,              DISTINCTIVE, NEEDLE-LIKE TOWER dominates the skyline,               lights flashing through the dark and wet --           54.    "
54,  166       INT. THE AUDI/REST-STOP -- NIGHT," 166                BOURNE'S EYES OPENING! -- heart pounding -- springing up --               alone -- damn, his side hurts -- recoiling from that --               where is he? -- he's in the car -- looking around and --                 HIS WINDSHIELD POV                 AN AUTOBAHN REST-STOP.  Gas station.  Sleeping trucks.                 BACK TO                 BOURNE catching his breath -- shifting away from the pain               in his rib -- checking his watch -- but what the hell is               that on his sleeve? -- fuck, it's BLOOD -- JARDA's blood --      "
54,  167       EXT. AUTOBAHN REST-STOP -- NIGHT," 167                BOURNE out of the car fast -- careless -- wrong -- not even               checking who's watching -- pulling off the shirt -- tearing               it off -- throwing it down and --                  Standing there.  In the weird light.  A big bruise ripening               on his side.  Looking around.                 It's okay.  Nobody's watching.  But, shit, man...                 Get it together.      "
54,  A167       INT. PEUGEOT -- AUTOBAHN -- NIGHT, A167                 Streaking along.  BOURNE back to his mission.      
54,  B167       EXT. AUTOBAHN -- NIGHT, B167                 Roaring by a SIGN:  Berlin 75 KM .    
55,  168        INT. MOSCOW AIRPORT -- NIGHT, 168                 KIRILL striding through the terminal.  Moving quickly                toward a departure gate and --                     GRETKOV above.  Watching him go.                    55.    
55,  169       EXT. BERLIN TRAIN STATION -- DAWN, 169                BOURNE drives up.        170-178     
55,  179       INT. BERLIN TRAIN STATION -- DAWN," 179                Quiet and forlorn this early.  Just like BOURNE who's               taking A LOCKER.  Stashing A BACKPACK.  Prepping the evac.               Always ready.  He heads outside, we hear:                                       HOTEL OPERATOR #1 (V.O.)                               (front desk German)                         (Berlin Hilton, how can I help you?)                                       BOURNE/PHONE (V.O.)                         (I'm trying to reach a guest, Pamela                         Landy, please.)                                       HOTEL OPERATOR #1 (V.O.)                         (I'm sorry but I'm not showing that we                         have a guest by that name.)                               (continuing as--)      "
56,  A179      INT. BERLIN TRAIN STATION PHONE KIOSK -- DAWN," A179                BOURNE tucked in with a BERLIN GUIDE BOOK, a felt tip pen,               and a Fifty-Euro phonecard.  Working it.                                       BOURNE/PHONE                         (Pamela Landy, please)                                        HOTEL OPERATOR #2                         (Sorry, I don't see it here.)                 Crossing out another Hotel off the list -- four down, forty               to go -- as we start TIME CUTTING and...                                       HOTEL VOICES (V.O.)                               (overlapping)                         (-- no one here by that name --)                         (-- no, sir, there's no Landy here --)                         (-- how are you spelling that, sir? --)                         (-- sorry, but no --)                         (-- I have no Landy registered, sir --)                               (continuing, until--)                  56.    "
